No	x	y	z	Rx	Ry	Rz
1	-7.636 -2.324 8.3 180 0 0
2	-7.636 -1.66 8.3 180 0 0
3	-7.636 -0.996 8.3 180 0 0
4	-7.636 -0.332 8.3 180 0 0
5	-7.636 0.332 8.3 180 0 0
6	-7.636 0.996 8.3 180 0 0
7	-7.636 1.66 8.3 180 0 0
8	-7.636 2.324 8.3 180 0 0
9	-6.972 -3.652 8.3 180 0 0
10	-6.972 -2.988 8.3 180 0 0
11	-6.972 -2.324 8.3 180 0 0
12	-6.972 -1.66 8.3 180 0 0
13	-6.972 -0.996 8.3 180 0 0
14	-6.972 -0.332 8.3 180 0 0
15	-6.972 0.332 8.3 180 0 0
16	-6.972 0.996 8.3 180 0 0
17	-6.972 1.66 8.3 180 0 0
18	-6.972 2.324 8.3 180 0 0
19	-6.972 2.988 8.3 180 0 0
20	-6.972 3.652 8.3 180 0 0
21	-6.308 -4.98 8.3 180 0 0
22	-6.308 -4.316 8.3 180 0 0
23	-6.308 -3.652 8.3 180 0 0
24	-6.308 -2.988 8.3 180 0 0
25	-6.308 -2.324 8.3 180 0 0
26	-6.308 -1.66 8.3 180 0 0
27	-6.308 -0.996 8.3 180 0 0
28	-6.308 -0.332 8.3 180 0 0
29	-6.308 0.332 8.3 180 0 0
30	-6.308 0.996 8.3 180 0 0
31	-6.308 1.66 8.3 180 0 0
32	-6.308 2.324 8.3 180 0 0
33	-6.308 2.988 8.3 180 0 0
34	-6.308 3.652 8.3 180 0 0
35	-6.308 4.316 8.3 180 0 0
36	-6.308 4.98 8.3 180 0 0
37	-5.644 -5.644 8.3 180 0 0
38	-5.644 -4.98 8.3 180 0 0
39	-5.644 -4.316 8.3 180 0 0
40	-5.644 -3.652 8.3 180 0 0
41	-5.644 -2.988 8.3 180 0 0
42	-5.644 -2.324 8.3 180 0 0
43	-5.644 -1.66 8.3 180 0 0
44	-5.644 -0.996 8.3 180 0 0
45	-5.644 -0.332 8.3 180 0 0
46	-5.644 0.332 8.3 180 0 0
47	-5.644 0.996 8.3 180 0 0
48	-5.644 1.66 8.3 180 0 0
49	-5.644 2.324 8.3 180 0 0
50	-5.644 2.988 8.3 180 0 0
51	-5.644 3.652 8.3 180 0 0
52	-5.644 4.316 8.3 180 0 0
53	-5.644 4.98 8.3 180 0 0
54	-5.644 5.644 8.3 180 0 0
55	-4.98 -6.308 8.3 180 0 0
56	-4.98 -5.644 8.3 180 0 0
57	-4.98 -4.98 8.3 180 0 0
58	-4.98 -4.316 8.3 180 0 0
59	-4.98 -3.652 8.3 180 0 0
60	-4.98 -2.988 8.3 180 0 0
61	-4.98 -2.324 8.3 180 0 0
62	-4.98 -1.66 8.3 180 0 0
63	-4.98 -0.996 8.3 180 0 0
64	-4.98 -0.332 8.3 180 0 0
65	-4.98 0.332 8.3 180 0 0
66	-4.98 0.996 8.3 180 0 0
67	-4.98 1.66 8.3 180 0 0
68	-4.98 2.324 8.3 180 0 0
69	-4.98 2.988 8.3 180 0 0
70	-4.98 3.652 8.3 180 0 0
