No	x	y	z	Rx	Ry	Rz
117 -1.50131 -8.16309 -7.10357 90 -10.4211 0
118 -0.958522 -8.24447 -7.10357 90 -6.63158 0
119 -0.411545 -8.28979 -7.10357 90 -2.84211 0
120 0.137232 -8.29887 -7.10357 90 0.947368 0
121 0.685409 -8.27165 -7.10357 90 4.73684 0
122 1.23059 -8.20827 -7.10357 90 8.52632 0
123 1.77039 -8.10899 -7.10357 90 12.3158 0
124 2.30244 -7.97426 -7.10357 90 16.1053 0
125 2.82443 -7.80465 -7.10357 90 19.8947 0
126 3.33407 -7.60092 -7.10357 90 23.6842 0
127 3.82913 -7.36395 -7.10357 90 27.4737 0
128 4.30745 -7.09478 -7.10357 90 31.2632 0
129 4.76693 -6.79459 -7.10357 90 35.0526 0
130 5.20556 -6.46468 -7.10357 90 38.8421 0
131 5.62144 -6.10651 -7.10357 90 42.6316 0
132 6.01273 -5.72163 -7.10357 90 46.4211 0
133 6.37773 -5.31174 -7.10357 90 50.2105 0
134 6.71484 -4.87862 -7.10357 90 54 0
135 7.02259 -4.42416 -7.10357 90 57.7895 0
136 7.29963 -3.95036 -7.10357 90 61.5789 0
137 7.54475 -3.45929 -7.10357 90 65.3684 0
138 7.75689 -2.95309 -7.10357 90 69.1579 0
139 7.9351 -2.43398 -7.10357 90 72.9474 0
140 8.07861 -1.90422 -7.10357 90 76.7368 0
141 8.1868 -1.36614 -7.10357 90 80.5263 0
142 8.25919 -0.822078 -7.10357 90 84.3158 0
143 8.29546 -0.274426 -7.10357 90 88.1053 0
144 8.29546 0.274426 -7.10357 90 91.8947 0
145 8.25919 0.822078 -7.10357 90 95.6842 0
146 8.1868 1.36614 -7.10357 90 99.4737 0
147 8.07861 1.90422 -7.10357 90 103.263 0
148 7.9351 2.43398 -7.10357 90 107.053 0
149 7.75689 2.95309 -7.10357 90 110.842 0
150 7.54475 3.45929 -7.10357 90 114.632 0
151 7.29963 3.95036 -7.10357 90 118.421 0
152 7.02259 4.42416 -7.10357 90 122.211 0
153 6.71484 4.87862 -7.10357 90 126 0
154 6.37773 5.31174 -7.10357 90 129.789 0
155 6.01273 5.72163 -7.10357 90 133.579 0
156 5.62144 6.10651 -7.10357 90 137.368 0
157 5.20556 6.46468 -7.10357 90 141.158 0
158 4.76693 6.79459 -7.10357 90 144.947 0
159 4.30745 7.09478 -7.10357 90 148.737 0
160 3.82913 7.36395 -7.10357 90 152.526 0
161 3.33407 7.60092 -7.10357 90 156.316 0
162 2.82443 7.80465 -7.10357 90 160.105 0
163 2.30244 7.97426 -7.10357 90 163.895 0
164 1.77039 8.10899 -7.10357 90 167.684 0
165 1.23059 8.20827 -7.10357 90 171.474 0
166 0.685409 8.27165 -7.10357 90 175.263 0
167 0.137232 8.29887 -7.10357 90 179.053 0
168 -0.411545 8.28979 -7.10357 90 182.842 0
169 -0.958522 8.24447 -7.10357 90 186.632 0
170 -1.50131 8.16309 -7.10357 90 190.421 0
171 -2.03753 8.04602 -7.10357 90 194.211 0
172 -2.56484 7.89377 -7.10357 90 198 0
173 -3.08094 7.707 -7.10357 90 201.789 0
174 -3.58356 7.48653 -7.10357 90 205.579 0
175 -4.07052 7.23332 -7.10357 90 209.368 0
176 -4.53967 6.94848 -7.10357 90 213.158 0
177 -4.98897 6.63326 -7.10357 90 216.947 0
178 -5.41646 6.28903 -7.10357 90 220.737 0
179 -5.82027 5.91731 -7.10357 90 224.526 0
180 -6.19862 5.5197 -7.10357 90 228.316 0
181 -6.54987 5.09797 -7.10357 90 232.105 0
182 -6.87247 4.65393 -7.10357 90 235.895 0
183 -7.16503 4.18955 -7.10357 90 239.684 0
184 -7.42625 3.70685 -7.10357 90 243.474 0
185 -7.655 3.20794 -7.10357 90 247.263 0
186 -7.85028 2.69501 -7.10357 90 251.053 0
187 -8.01123 2.17028 -7.10357 90 254.842 0
188 -8.13715 1.63607 -7.10357 90 258.632 0
189 -8.22749 1.09471 -7.10357 90 262.421 0
190 -8.28185 0.548552 -7.10357 90 266.211 0
191 -8.3 -2.97953e-08 -6.55714 90 -90 0
192 -8.28185 -0.548552 -6.55714 90 -86.2105 0
193 -8.22749 -1.09471 -6.55714 90 -82.4211 0
194 -8.13715 -1.63607 -6.55714 90 -78.6316 0
195 -8.01123 -2.17028 -6.55714 90 -74.8421 0
196 -7.85028 -2.69501 -6.55714 90 -71.0526 0
197 -7.655 -3.20794 -6.55714 90 -67.2632 0
198 -7.42625 -3.70685 -6.55714 90 -63.4737 0
199 -7.16503 -4.18955 -6.55714 90 -59.6842 0
200 -6.87247 -4.65393 -6.55714 90 -55.8947 0
201 -6.54987 -5.09797 -6.55714 90 -52.1053 0
202 -6.19862 -5.5197 -6.55714 90 -48.3158 0
203 -5.82027 -5.91731 -6.55714 90 -44.5263 0
204 -5.41646 -6.28903 -6.55714 90 -40.7368 0
205 -4.98897 -6.63326 -6.55714 90 -36.9474 0
206 -4.53967 -6.94848 -6.55714 90 -33.1579 0
207 -4.07052 -7.23332 -6.55714 90 -29.3684 0
208 -3.58356 -7.48653 -6.55714 90 -25.5789 0
209 -3.08094 -7.707 -6.55714 90 -21.7895 0
210 -2.56484 -7.89377 -6.55714 90 -18 0
211 -2.03753 -8.04602 -6.55714 90 -14.2105 0
212 -1.50131 -8.16309 -6.55714 90 -10.4211 0
213 -0.958522 -8.24447 -6.55714 90 -6.63158 0
214 -0.411545 -8.28979 -6.55714 90 -2.84211 0
215 0.137232 -8.29887 -6.55714 90 0.947368 0
216 0.685409 -8.27165 -6.55714 90 4.73684 0
