No	x	y	z	Rx	Ry	Rz
1	-7.74667 -1.66 8.3 180 0 0
2	-7.74667 -1.10667 8.3 180 0 0
3	-7.74667 -0.553333 8.3 180 0 0
4	-7.74667 0 8.3 180 0 0
5	-7.74667 0.553333 8.3 180 0 0
6	-7.74667 1.10667 8.3 180 0 0
7	-7.74667 1.66 8.3 180 0 0
8	-7.19333 -3.32 8.3 180 0 0
9	-7.19333 -2.76667 8.3 180 0 0
10	-7.19333 -2.21333 8.3 180 0 0
11	-7.19333 -1.66 8.3 180 0 0
12	-7.19333 -1.10667 8.3 180 0 0
13	-7.19333 -0.553333 8.3 180 0 0
14	-7.19333 0 8.3 180 0 0
15	-7.19333 0.553333 8.3 180 0 0
16	-7.19333 1.10667 8.3 180 0 0
17	-7.19333 1.66 8.3 180 0 0
18	-7.19333 2.21333 8.3 180 0 0
19	-7.19333 2.76667 8.3 180 0 0
20	-7.19333 3.32 8.3 180 0 0
21	-6.64 -4.42667 8.3 180 0 0
22	-6.64 -3.87333 8.3 180 0 0
23	-6.64 -3.32 8.3 180 0 0
24	-6.64 -2.76667 8.3 180 0 0
25	-6.64 -2.21333 8.3 180 0 0
26	-6.64 -1.66 8.3 180 0 0
27	-6.64 -1.10667 8.3 180 0 0
28	-6.64 -0.553333 8.3 180 0 0
29	-6.64 0 8.3 180 0 0
30	-6.64 0.553333 8.3 180 0 0
31	-6.64 1.10667 8.3 180 0 0
32	-6.64 1.66 8.3 180 0 0
33	-6.64 2.21333 8.3 180 0 0
34	-6.64 2.76667 8.3 180 0 0
35	-6.64 3.32 8.3 180 0 0
36	-6.64 3.87333 8.3 180 0 0
37	-6.64 4.42667 8.3 180 0 0
38	-6.08667 -4.98 8.3 180 0 0
39	-6.08667 -4.42667 8.3 180 0 0
40	-6.08667 -3.87333 8.3 180 0 0
41	-6.08667 -3.32 8.3 180 0 0
42	-6.08667 -2.76667 8.3 180 0 0
43	-6.08667 -2.21333 8.3 180 0 0
44	-6.08667 -1.66 8.3 180 0 0
45	-6.08667 -1.10667 8.3 180 0 0
46	-6.08667 -0.553333 8.3 180 0 0
47	-6.08667 0 8.3 180 0 0
48	-6.08667 0.553333 8.3 180 0 0
49	-6.08667 1.10667 8.3 180 0 0
50	-6.08667 1.66 8.3 180 0 0
51	-6.08667 2.21333 8.3 180 0 0
52	-6.08667 2.76667 8.3 180 0 0
53	-6.08667 3.32 8.3 180 0 0
54	-6.08667 3.87333 8.3 180 0 0
55	-6.08667 4.42667 8.3 180 0 0
56	-6.08667 4.98 8.3 180 0 0
57	-5.53333 -5.53333 8.3 180 0 0
58	-5.53333 -4.98 8.3 180 0 0
59	-5.53333 -4.42667 8.3 180 0 0
60	-5.53333 -3.87333 8.3 180 0 0
61	-5.53333 -3.32 8.3 180 0 0
62	-5.53333 -2.76667 8.3 180 0 0
63	-5.53333 -2.21333 8.3 180 0 0
64	-5.53333 -1.66 8.3 180 0 0
65	-5.53333 -1.10667 8.3 180 0 0
66	-5.53333 -0.553333 8.3 180 0 0
67	-5.53333 0 8.3 180 0 0
68	-5.53333 0.553333 8.3 180 0 0
69	-5.53333 1.10667 8.3 180 0 0
70	-5.53333 1.66 8.3 180 0 0
